No,landmass,zone,area,population,language,religion,bars,stripes,colours,circles,crosses,saltires,quarters,sunstars,crescent,triangle,icon,animate,text,green,blue,yellow,white,black,orange,red
177,5,1,6,8,6,6,1,1,3,2,1,1,1,1,1,1,2,1,1,0,1,0,1,1,0,1
178,6,2,3,1,4,2,1,1,3,1,1,1,1,1,1,2,1,2,1,1,0,1,0,1,0,1
179,4,2,4,4,6,4,1,1,2,2,1,2,1,3,1,1,1,1,1,1,0,0,1,0,0,1
180,4,2,8,2,6,4,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
181,4,2,10,5,6,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
182,5,1,13,5,5,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,0,0,1,0,0,0
183,2,3,13,8,2,1,1,3,2,1,1,1,1,2,1,1,1,1,1,0,1,1,1,0,0,0
184,5,1,12,3,6,5,3,1,2,3,1,1,1,2,2,2,2,1,1,0,1,1,0,0,0,1
185,3,1,8,8,4,5,1,3,3,1,1,1,1,2,1,1,1,1,1,0,1,1,1,0,0,1
186,1,4,4,4,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0
187,5,1,8,3,6,5,1,3,2,2,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
188,3,1,9,4,4,2,1,1,2,1,2,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
189,3,1,5,5,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1
190,5,1,2,3,5,4,1,2,1,1,1,1,1,4,2,1,1,1,1,0,0,0,1,0,0,1
191,3,1,5,4,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1
192,6,2,2,1,6,2,1,1,1,1,2,1,2,1,1,1,1,1,1,0,0,0,1,0,0,1
193,4,1,7,5,5,3,1,1,1,2,1,1,1,2,2,1,1,1,1,0,0,0,1,0,0,1
194,5,1,11,9,6,3,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,1,0,0,1
